Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
105, 647,B,  2,H,CC(7), 0.20, 0.20,    16.72,
105, 647,B,  3,H,    1, 1.50, 1.50,    16.50,
105, 647,B,  3,H,    2, 1.50, 1.50,    18.00,
105, 647,B,  3,H,    3, 1.50, 1.50,    19.50,
105, 647,B,  3,H,    4, 1.50, 1.50,    21.00,
105, 647,B,  3,H,    5, 1.50, 1.50,    22.50,
105, 647,B,  3,H,    6, 1.50, 1.50,    24.00,
105, 647,B,  3,H,    7, 0.47, 0.47,    25.50,
105, 647,B,  3,H,CC(7), 0.10, 0.10,    25.97,
105, 647,B,  4,H,    1, 1.50, 1.50,    26.10,
105, 647,B,  4,H,    2, 1.50, 1.50,    27.60,
105, 647,B,  4,H,    3, 1.50, 1.50,    29.10,
105, 647,B,  4,H,    4, 1.50, 1.50,    30.60,
105, 647,B,  4,H,    5, 1.50, 1.50,    32.10,
105, 647,B,  4,H,    6, 1.50, 1.50,    33.60,
105, 647,B,  4,H,    7, 0.64, 0.64,    35.10,
105, 647,B,  4,H,CC(7), 0.24, 0.24,    35.74,
105, 647,B,  5,H,    1, 1.50, 1.50,    35.80,
105, 647,B,  5,H,    2, 1.50, 1.50,    37.30,
105, 647,B,  5,H,    3, 1.50, 1.50,    38.80,
105, 647,B,  5,H,    4, 1.50, 1.50,    40.30,"P.P. SAMPLE TAKEN FROM 145-150 CM."
105, 647,B,  5,H,    5, 1.50, 1.50,    41.80,
105, 647,B,  5,H,    6, 1.20, 1.20,    43.30,
105, 647,B,  5,H,    7, 0.33, 0.33,    44.50,
105, 647,B,  5,H,CC(7), 0.20, 0.20,    44.83,
105, 647,B,  6,H,    1, 1.50, 1.50,    45.50,
105, 647,B,  6,H,    2, 1.50, 1.50,    47.00,
105, 647,B,  6,H,    3, 1.50, 1.50,    48.50,
105, 647,B,  6,H,    4, 1.50, 1.50,    50.00,
105, 647,B,  6,H,    5, 1.50, 1.50,    51.50,
105, 647,B,  6,H,    6, 1.50, 1.50,    53.00,
105, 647,B,  6,H,    7, 0.57, 0.57,    54.50,
105, 647,B,  6,H,CC(7), 0.25, 0.25,    55.07,
105, 647,B,  7,H,    1, 1.50, 1.50,    55.10,
105, 647,B,  7,H,    2, 1.50, 1.50,    56.60,
105, 647,B,  7,H,    3, 1.50, 1.50,    58.10,
105, 647,B,  7,H,    4, 1.50, 1.50,    59.60,
105, 647,B,  7,H,    5, 1.50, 1.50,    61.10,
105, 647,B,  7,H,    6, 0.80, 0.80,    62.60,
105, 647,B,  7,H,CC(6), 0.16, 0.16,    63.40,
105, 647,B,  8,H,    1, 1.50, 1.50,    64.70,
105, 647,B,  8,H,    2, 1.50, 1.50,    66.20,
105, 647,B,  8,H,    3, 1.50, 1.50,    67.70,
105, 647,B,  8,H,    4, 1.50, 1.50,    69.20,"PP 145-150 CM (DB) Y ADDED"
105, 647,B,  8,H,    5, 1.50, 1.50,    70.70,
105, 647,B,  8,H,    6, 1.50, 1.50,    72.20,
105, 647,B,  8,H,   CC, 0.17, 0.17,    73.70,
105, 647,B,  9,H,    1, 1.50, 1.50,    74.30,
105, 647,B,  9,H,    2, 1.50, 1.50,    75.80,
105, 647,B,  9,H,    3, 1.50, 1.50,    77.30,
105, 647,B,  9,H,    4, 1.50, 1.50,    78.80,
105, 647,B,  9,H,    5, 1.32, 1.32,    80.30,"(DB) VOID 52-62CM"
105, 647,B,  9,H,   CC, 0.23, 0.23,    81.62,
105, 647,B, 10,H,    1, 1.50, 1.50,    83.90,
105, 647,B, 10,H,    2, 1.50, 1.50,    85.40,
105, 647,B, 10,H,    3, 1.50, 1.50,    86.90,
105, 647,B, 10,H,    4, 1.50, 1.50,    88.40,
105, 647,B, 10,H,    5, 1.05, 1.05,    89.90,"(DB) VOID 5-20, 65-95CM"
105, 647,B, 10,H,CC(5), 0.17, 0.17,    90.95,
105, 647,B, 11,H,    1, 1.50, 1.50,    93.50,
105, 647,B, 11,H,    2, 1.50, 1.50,    95.00,
105, 647,B, 11,H,    3, 1.50, 1.50,    96.50,"(DB) PP SAMPLE 145-150CM, Y ADDED ALSO"
105, 647,B, 11,H,    4, 0.65, 0.65,    98.00,
105, 647,B, 11,H,CC(4), 0.19, 0.19,    98.65,
